Grantee,Disaster Type,Disbursement_Velocity,Disbursement_TV_Mean,Disbursement_TV_Std,Disbursement_TV_Count,Disbursement_TV_Min,Disbursement_TV_Max,Disbursement_TV_Lag1_Mean,Disbursement_TV_Lag1_Std,Disbursement_TV_Lag1_Count
"Chicago, IL",2011-2013 Hurricane Sandy and Other Events,0.035316452647447955,3.5249681820511274,10.39995431672605,26,-9.40477660786556,44.86755925218665,3.660068770925579,10.591097548620482,25
City of Birmingham,2011 Multiple Disasters,0.03184226477018186,3.164962331968063,14.005810921530468,18,-41.37869388769823,26.616689117498616,3.376640501242309,14.407149771458927,17
City of Birmingham,2011-2013 Hurricane Sandy and Other Events,0.029817489875111597,2.980940970191218,17.024228157755488,29,-46.39897256976154,47.534374123828904,3.08332081521656,17.32753167495662,28
Colorado,2011-2013 Hurricane Sandy and Other Events,0.026249670707145435,2.605901420776641,6.1765287968417555,38,-9.540528780624125,27.36771862215851,2.6761181260978177,6.2463315298108055,37
Colorado,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.07545649103559736,1.7669287903629245,27.087221232489853,4,-24.98064594960097,38.78491570006915,5.3442571454134224,31.996760182676052,3
"Columbia, SC",2015 Hurricane Joaquin and Patricia and Other Events,0.03577662651129264,3.2703103402633245,12.072355376944982,27,-38.39477496364466,33.91369331898355,3.393939856074767,12.293992556510457,26
"Columbia, SC",2015-2018 Mitigation,0.006745449609900457,0.6745449609900457,1.4868077699995628,10,0.0,4.871251331719129,0.7271766956625714,1.5670859560766814,9
Connecticut - DOH,2011-2013 Hurricane Sandy and Other Events,0.024038381309033272,-0.03151794849757194,6.286598983730689,41,-24.00011774965546,26.941459018632496,-0.032527519910796866,6.366682909924111,40
Connecticut - DOH,2013 National Disaster Resilience,0.039451058830418065,0.0,0.07823517901590554,25,-0.2952848488206983,0.2098492575881017,0.0,0.07991784848684327,24
"Cook County, IL",2011-2013 Hurricane Sandy and Other Events,0.024510582281848086,2.281583368360731,5.541447203585011,36,-9.392655716322517,20.251713030034242,2.301750262488724,5.62100800122539,35
County Of Orange,2011 Multiple Disasters,0.03489095944450398,3.3545512693239457,7.972686394725131,27,-0.9912143738287638,36.620011903929786,3.47932678412909,8.103647447513751,26
"Dallas, TX","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.022390769869304133,1.9532484066558304,2.592993478240491,2,0.11972513461948678,3.786771678692174,0.11972513461948678,,1
"Dauphin County, PA",2011 Multiple Disasters,0.03234492491725808,2.3816857080830536,9.593939154389977,30,-25.121499592788755,20.918208932385262,2.320970404302266,9.757889232358709,29
"Dauphin County, PA",2011-2013 Hurricane Sandy and Other Events,0.07142857142857144,2.7785830914368668,17.851212537825816,13,-50.88998290401274,25.280448381729727,3.010125120503412,18.624583075007884,12
"Dearborn, MI","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.009204451978057545,0.9204451978057545,,1,0.9204451978057545,0.9204451978057545,,,0
"Detroit, MI","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.029581317361450647,2.9581317361450647,2.446745895745199,3,0.1473179145603263,4.610641305031439,2.378979609795883,3.1560462360306567,2
Empire State Development Corporation (NYS),2001 World Trade Center,0.010953986609601856,1.0953986609601858,5.781176250991168,91,-2.6387202244925856,54.62365061535138,1.1075208499970464,5.81240091982446,90
Florida,2015-2018 Mitigation,0.006391562476063883,0.5379094910616989,8.125728684075844,17,-28.44135028503153,10.67456830114804,0.5312273290727576,8.392168258580302,16
Florida,2016 Louisiana Floods and Other Events,0.03231689221928989,3.1701938743880675,7.678855713204667,29,-29.33272719506806,18.3210108823058,3.2773297453219095,7.797660828705727,28
Florida,"2017 Hurricanes Harvey, Irma and Maria",0.035570797528710354,3.548938856579297,4.006419898066835,26,-6.801008130693809,10.936798280492832,3.6357360501759697,4.064009056441265,25
Florida,2018 Disasters,0.02591077575434589,2.5450098186048327,7.441192540876347,17,-16.58145004164442,14.305293087464028,2.6293849344752505,7.676827171507097,16
Florida,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0007964872539724048,-0.1256143458457972,2.848893574958884,9,-7.187990788325606,3.179375630120121,-0.15316756570006831,3.044313102373571,8
Florida,2022 Disasters including Hurricanes Fiona and Ian,0.030954643001196522,3.0954643001196525,0.8296514461588632,4,2.490891306558643,4.3152643975794245,3.162810935523734,1.0026309726757585,3
"Fort Worth, TX","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0014340688236259903,0.14340688236259913,2.3444806059693404,3,-2.1260785115000935,2.556299158587891,1.2781495792939455,1.8075764697789634,2
Georgia,2015-2018 Mitigation,0.050134508629381055,5.0040702312198855,4.427844319567116,15,0.06507282107098547,13.551963963099457,5.3401746856014904,4.391936418579078,14
Georgia,"2017 Hurricanes Harvey, Irma and Maria",0.027649525981659876,2.7237288912894324,7.231497162698812,22,-23.881939813810792,15.498484832449789,2.5031191896824803,7.333828003204821,21
Georgia,2018 Disasters,0.011309006604998766,1.1298825018416012,1.8480216275152792,15,-3.5189702145050434,5.543911702468869,1.117928662672491,1.917180768809606,14
"Hawaii County, HI",2015-2018 Mitigation,0.06849630706008664,6.849630706008663,9.68684064168465,2,0.0,13.699261412017327,0.0,,1
"Hawaii County, HI",2018 Disasters,0.05934528626046415,5.934528626046416,8.69252306102166,14,-12.090866885671014,24.502479493837154,6.181048078007212,8.996383385596378,13
"Houston, TX",2015 Hurricane Joaquin and Patricia and Other Events,0.024593362505058135,2.4007533481425107,2.8553003133121044,32,-4.591695139358977,11.10245552486685,2.3355245008625984,2.878160130812043,31
"Houston, TX",2015-2018 Mitigation,0.02884531696538367,2.7113141937578193,5.936460292387682,11,-8.989009302258308,17.075551531481125,2.6476293691045694,6.25361650720724,10
Illinois,2008 Hurricane Ike and Other Events,0.022096109721227827,2.2096109721227823,10.316376643250262,45,-57.4693761879879,25.980548405794224,2.2595910422935095,10.43013248295681,44
Illinois,2008 Midwest Floods,0.030213050950747736,2.9500221956144936,11.681859335335744,33,-46.39464478740854,31.473633595503014,3.0195323329806865,11.861845269149518,32
Illinois,2011-2013 Hurricane Sandy and Other Events,0.09046059705138598,6.5134464646464645,17.003317059384944,11,-21.845895686646987,41.45285280765274,7.112834848188574,17.800151692374662,10
Indiana - OCRA,2008 Hurricane Ike and Other Events,0.015868030596485054,1.472640064829077,10.049473523890033,60,-40.17762106989939,61.25314271900314,1.5047950930274254,10.132623141382775,59
Iowa,2019 Disasters,0.0434286012151419,4.208542372479502,7.780243781236263,16,-18.586330820047557,20.74965944018877,4.362509519807142,8.028046763167652,15
Iowa,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.020793183376494717,2.021560133974023,2.522940391687081,8,-0.36908927361129507,7.348833702356522,2.2126163524323186,2.661843306739224,7
"Jefferson County, AL",2011 Multiple Disasters,0.02374262936665829,2.399249976771177,10.99916747564857,39,-54.35944497538855,27.547608767791953,2.460489825209477,11.140073830566426,38
"Jefferson County, AL",2011-2013 Hurricane Sandy and Other Events,0.024896059207420017,2.2679030478549262,5.273443088870078,39,-10.074665592774146,18.532043726774628,2.327471133627624,5.330916993270514,38
"Jefferson Parish, LA",2011-2013 Hurricane Sandy and Other Events,0.029188993344678785,1.9692353131120546,22.935561823734332,28,-67.66084961911413,47.75924914836256,1.7736414275134191,23.348659678817338,27
"Joplin, MO",2011 Multiple Disasters,0.017467063501002255,1.4623443990606466,11.318323906156856,48,-32.81336983957219,60.19327798211192,1.4934581096789583,11.438612605896978,47
"Kauai County, HI",2018 Disasters,0.014897802010680035,1.4897802010680035,0.9351057373112616,16,0.6035402136006972,4.730985723626853,1.542602550130776,0.9428942133045285,15
