model,variable,HR,HR_Lower,HR_Upper,p_value,concordance,n_obs,n_events
velocity_index_scaled_only_lag0,Capacity_Velocity_Index_pp_lag0_scaled,0.9998650703043157,0.8998407400635288,1.111007886511199,0.9979979200812824,0.4255849842090152,3452,33
velocity_index_scaled_full_lag0,Capacity_Velocity_Index_pp_lag0_scaled,0.9998621543520889,0.899692088710403,1.111184971225635,0.9979577949429248,0.6888278782658628,3442,33
velocity_index_scaled_full_lag0,Government_Type_State,1.0093746836036401,0.8212424149415716,1.2406047634210848,0.9293479994716374,0.6888278782658628,3442,33
velocity_index_scaled_full_lag0,Prior_Grant_Count,1.0019420984911,0.917603142027797,1.0940328370173977,0.9655038145544406,0.6888278782658628,3442,33
velocity_index_scaled_full_lag0,Prior_Grant_Dollars_log,1.0015993450652465,0.9911200372264688,1.0121894526948219,0.7658526543413654,0.6888278782658628,3442,33
velocity_index_scaled_full_lag0,Disaster_Year,1.0014432090641685,0.9759014293824532,1.0276534809620723,0.9128788680521033,0.6888278782658628,3442,33
velocity_index_scaled_full_lag0,Population_log,0.996850750859328,0.9473390887111441,1.0489500869649022,0.9034104289493541,0.6888278782658628,3442,33
velocity_pp_only_lag2,Disbursement_Velocity_pp_lag2,1.0000122278943087,0.9952614265835804,1.0047857067774728,0.9959844216444488,0.5820054550674706,3155,33
velocity_pp_only_lag2,Expenditure_Velocity_pp_lag2,1.0000005341978533,0.997767699164695,1.002238365937449,0.9996262713186902,0.5820054550674706,3155,33
velocity_pp_full_lag2,Disbursement_Velocity_pp_lag2,1.0000127112234134,0.9952479003852192,1.004800333888003,0.9958380016933043,0.693296009187482,3148,33
velocity_pp_full_lag2,Expenditure_Velocity_pp_lag2,1.0000005074055154,0.9977662309708357,1.0022397870073012,0.9996452447033789,0.693296009187482,3148,33
velocity_pp_full_lag2,Government_Type_State,1.0101833879111786,0.8148234078254925,1.2523823780848682,0.9263791967532128,0.693296009187482,3148,33
velocity_pp_full_lag2,Prior_Grant_Count,1.002109772280627,0.9126852382366109,1.10029608634909,0.964750561366213,0.693296009187482,3148,33
velocity_pp_full_lag2,Prior_Grant_Dollars_log,1.0017445949318666,0.9907888661426545,1.0128214675867444,0.7560499940720328,0.693296009187482,3148,33
velocity_pp_full_lag2,Disaster_Year,1.0016514301006425,0.9742692859600585,1.0298031579985516,0.9071124147058369,0.693296009187482,3148,33
