source,model,capacity_set,variable,p_value,effect_ratio,effect_lower,effect_upper,n,events,interpretation,bonferroni,rank,bh_raw,bh_fdr,sig_bonferroni,sig_bh_fdr
capacity_sets,Cox_PH,velocity_index_fixed_12m_scaled,Capacity_Velocity_Index_fixed_12m_scaled,0.031488554993556,1.3656552116911236,1.028042396892394,1.814141287223916,150,39,Hazard Ratio (>1 = faster completion),1.0,91,0.1650553926585298,0.1632613123035458,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_threshold_q67_interaction,Ratio_disbursed_to_obligated_high_q67_x_Capacity_Velocity_Index_pp,0.0367670046551818,1.3495730833149264,1.018599932403101,1.7880891695242884,151,40,Hazard Ratio (>1 = faster completion),1.0,93,0.18857915290883565,0.18698215367159282,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_threshold_interaction,Capacity_Velocity_Index_pp_c,0.0368476361533118,1.250070518907905,1.0137245549646614,1.54151963133334,151,40,Hazard Ratio (>1 = faster completion),1.0,94,0.18698215367159282,0.18698215367159282,False,False
capacity_sets,Cox_PH,velocity_early_3q_pp,Disbursement_Velocity_early_3q_pp,0.0417853542461857,1.1010845646965004,1.0035867878846458,1.208054184499922,146,40,Hazard Ratio (>1 = faster completion),1.0,96,0.2076209789107352,0.2055499605691413,False,False
capacity_sets,Cox_PH,velocity_index_early_4q_pp,Capacity_Velocity_Index_early_4q_pp,0.0482623614985138,1.117072540182196,1.000846059773623,1.2467961959218288,139,40,Hazard Ratio (>1 = faster completion),1.0,99,0.2325368326746574,0.23021146434791132,False,False
capacity_sets,Cox_PH,velocity_index_early_4q_scaled,Capacity_Velocity_Index_early_4q_scaled,0.0482623614985139,1.3064699160329394,1.0020441559939703,1.7033816636613237,139,40,Hazard Ratio (>1 = faster completion),1.0,100,0.23021146434791132,0.23021146434791132,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_interaction,Ratio_disbursed_to_obligated_above_x_Capacity_Velocity_Index_pp,0.0490302720405391,2.039484626820954,1.0030331743939176,4.146919213865863,151,40,Hazard Ratio (>1 = faster completion),1.0,101,0.2315588095379916,0.2315588095379916,False,False
capacity_sets,Cox_PH,velocity_early_4q_pp,Disbursement_Velocity_early_4q_pp,0.053158458458213,1.104365563953658,0.9986490227486228,1.221273211172692,139,40,Hazard Ratio (>1 = faster completion),1.0,103,0.24618043383075341,0.24618043383075341,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_q75_interaction,Disbursement_Velocity_pp_c,0.0550760968033514,1.137840264089068,0.9971975980595664,1.2983188779250785,151,40,Hazard Ratio (>1 = faster completion),1.0,104,0.2526086362999867,0.2526086362999867,False,False
capacity_sets,Cox_PH,quartiles_ratio,Capacity_Index_Q4,0.0582599724443066,2.0901474983662864,0.9745471280311238,4.4828171355375686,156,41,Hazard Ratio (>1 = faster completion),1.0,105,0.26466673196127855,0.26466673196127855,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q75_interaction,Disbursement_Velocity_pp_c,0.0649297212012273,1.132293831856787,0.992340645847982,1.291985093047706,151,40,Hazard Ratio (>1 = faster completion),1.0,106,0.29218374540552283,0.2911491885138817,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q67_interaction,Disbursement_Velocity_pp_c,0.0656088315412979,1.1319513832457733,0.9920290607592276,1.291609273070482,151,40,Hazard Ratio (>1 = faster completion),1.0,107,0.2924804920112065,0.2911491885138817,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_q67_interaction,Disbursement_Velocity_pp_c,0.0659205709842751,1.1313949556585412,0.9919100175383174,1.2904946245692537,151,40,Hazard Ratio (>1 = faster completion),1.0,108,0.2911491885138817,0.2911491885138817,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_interaction,Ratio_disbursed_to_obligated_high_x_Disbursement_Velocity_pp,0.0675206144035875,1.1480251706988105,0.9900995573712276,1.331140674436113,151,40,Hazard Ratio (>1 = faster completion),1.0,109,0.29548011991294715,0.29548011991294715,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_interaction,Disbursement_Velocity_pp_c,0.0684524540566726,1.1303275583386607,0.9907676793264556,1.2895458903225472,151,40,Hazard Ratio (>1 = faster completion),1.0,110,0.2968347325912076,0.2968347325912076,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_interaction,Disbursement_Velocity_pp_c,0.0708200247168104,1.1292260241615546,0.9897381821135652,1.2883724571690796,151,40,Hazard Ratio (>1 = faster completion),1.0,111,0.30433470081007713,0.30433470081007713,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_interaction,Ratio_disbursed_to_obligated_above,0.0727713921957809,4.954059283507761,0.8626199880267053,28.451350218132937,151,40,Hazard Ratio (>1 = faster completion),1.0,112,0.30992816140524543,0.3066195569991004,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_q33_interaction,Ratio_disbursed_to_obligated_high_q33_x_Disbursement_Velocity_pp,0.0729285781309885,1.1411869175311598,0.9877991332695474,1.3183931194935563,151,40,Hazard Ratio (>1 = faster completion),1.0,113,0.3078489537033762,0.3066195569991004,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_interaction,Ratio_disbursed_to_obligated_above,0.0732801456978982,4.909053112164381,0.8606874467696408,27.99948174973293,151,40,Hazard Ratio (>1 = faster completion),1.0,114,0.3066195569991004,0.3066195569991004,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q33_interaction,Disbursement_Velocity_pp_c,0.0781356006872882,1.1257461427307849,0.9867515682591096,1.284319598406213,151,40,Hazard Ratio (>1 = faster completion),1.0,115,0.32409288285075194,0.32263786315485843,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q67_interaction,Ratio_disbursed_to_obligated_above_q67,0.0788000906461262,6.957839859491145,0.7999246439993298,60.52012008066639,151,40,Hazard Ratio (>1 = faster completion),1.0,116,0.32403140722588103,0.32263786315485843,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q25_interaction,Disbursement_Velocity_pp_c,0.0800023046335238,1.1249045681870402,0.9860278195058704,1.2833413647114018,151,40,Hazard Ratio (>1 = faster completion),1.0,118,0.32339914669653264,0.32339914669653264,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_q25_interaction,Ratio_disbursed_to_obligated_high_q25_x_Disbursement_Velocity_pp,0.0830033501059663,1.1307521613867126,0.984076309896469,1.2992899408535086,151,40,Hazard Ratio (>1 = faster completion),1.0,119,0.3327109075676128,0.3327109075676128,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q75_interaction,Ratio_disbursed_to_obligated_above_q75,0.0851240215622763,8.448551252098909,0.7442918039231996,95.90058345813422,151,40,Hazard Ratio (>1 = faster completion),1.0,121,0.33557155607608097,0.3342781516779249,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q67_interaction,Ratio_disbursed_to_obligated_above_q67,0.0854967180392177,6.621868070720949,0.7678377480777793,57.10729494063873,151,40,Hazard Ratio (>1 = faster completion),1.0,122,0.3342781516779249,0.3342781516779249,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_q25_interaction,Disbursement_Velocity_pp_c,0.08686573438848,1.121860019721933,0.9834958910948124,1.2796900477636723,151,40,Hazard Ratio (>1 = faster completion),1.0,123,0.33686955531142243,0.33686955531142243,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_q33_interaction,Disbursement_Velocity_pp_c,0.0891453447334688,1.120924104814226,0.9826893046063988,1.278604379699476,151,40,Hazard Ratio (>1 = faster completion),1.0,124,0.3429220115956824,0.3429220115956824,False,False
