Grantee,state_level,z_avg_employment,z_avg_payroll,z_rev_programs_per_staff,z_rev_disasters_per_staff,z_Ratio_disbursed_to_obligated,z_Ratio_expended_to_disbursed,z_Ratio_obligated_funds_fully_expended,z_Ratio_Program_Completed,z_rev_Duration_of_completion,z_rev_Average_Duration_Program_Completion,z_E_TOTPOP,z_SPL_THEME1,z_SPL_THEME2,z_SPL_THEME3,z_SPL_THEME4
"Galveston County, TX",0,-0.420421510606961,-0.4385213263220568,-0.1285223109146011,-0.1427492499119432,0.5918295457168479,-0.3125308823743335,0.45809208424749076,0.4187938990314442,-1.7244626751627978,-1.189613107120322,-0.28985146270876194,-0.19574894476778687,0.08789674438847513,1.1603660407704515,0.4808247456949927
"Gibson County, IN",0,-0.420421510606961,-0.4385213263220568,-0.9747667469721706,-0.1427492499119432,1.490887882694209,-0.04136619777541656,0.5686675225880058,0.4187938990314442,-0.3162484531672112,0.9879018492967923,-0.35745368891316404,-1.4304346358904032,-0.06315744954151503,-1.040809401153027,0.11395253055113554
"Grant County, IN",0,-0.420421510606961,-0.4385213263220568,-0.41060378960045757,-0.1427492499119432,1.6558819132236733,1.58448251963598,0.5686675225880058,0.4187938990314442,1.3581761286028826,1.0993694296515928,-0.35745368891316404,1.0833871245829858,0.8315655917323685,-0.41559657148010015,0.7494475728530942
"Greene County, IN",0,-0.420421510606961,-0.4385213263220568,-1.5389297043438834,-0.1427492499119432,1.102257906873593,-0.06120974917947826,0.5686675225880058,0.4187938990314442,-1.5479536322688299,0.7010160380213789,-0.35745368891316404,0.32883607448037466,0.42902633266061135,-1.4605190365272103,-0.21006205116149318
"Hampden County, MA",0,-0.420421510606961,-0.4385213263220568,-0.692685268286314,-1.4830064985334581,0.341946573741122,-0.08143371904224064,0.4995209993351692,-0.3258243741372686,-0.976951701158291,-0.263878139017859,-0.2588952197058085,0.5648699347437479,1.1936787058939702,1.0997630244396548,1.1080442477854242
"Hancock County, IL",0,-0.420421510606961,-0.4385213263220568,0.43564064645711187,-0.1427492499119432,-1.0417002347544482,-0.07449838806624594,0.5686675225880058,0.4187938990314442,0.1245418889231875,-0.46953441616782826,-0.35357135920335653,-1.1603221523187768,-0.4243188271076975,-1.4445334812230728,-2.061789680244381
"Harris County, TX",0,-0.420421510606961,-0.4385213263220568,-3.513500055144879,-5.503778244398004,-1.1931189701724783,-0.017165902026264845,-1.1231376345901227,-0.8222365562497442,-0.210343027430831,-0.5625023222767181,0.5820746462536343,0.9680042909388941,0.41416111345598033,1.6256522704895422,0.4159191401673602
"Harrison County, IN",0,-0.420421510606961,-0.4385213263220568,0.1535591677712554,-0.1427492499119432,1.4080585650240312,-0.07449838806624594,0.5686675225880058,0.4187938990314442,1.2704038723004178,0.971749849447571,-0.35745368891316404,-0.8926556154856307,-0.6468439072745885,-1.4375708838017152,-1.3632918026094123
"Hawaii County, HI",0,-0.420421510606961,-0.4385213263220568,-0.1285223109146011,-1.4830064985334581,-0.7769052116475625,-0.8945158765837469,-1.7490952465421643,-2.063267011530933,0.8305780604990569,-0.15964139580486095,-0.31641847655185895,-0.28170986139419457,0.19689324495901883,1.3532584081070422,0.03149915545088682
"Hays County, TX",0,-0.420421510606961,-0.4385213263220568,-0.41060378960045757,-1.4830064985334581,-0.7438866219705437,-0.1150210510594325,-0.43707367449325757,0.4187938990314442,-0.007598760675028125,-0.8554920869835233,-0.31605667733365356,-0.0812363037133459,-1.7181820681839872,1.210560684425443,0.7926072332993421
