Model,Variable,Coefficient,SE,Effect_Ratio,Effect_Lower,Effect_Upper,p_value,Interpretation,Capacity_Set,N,Events
Cox_PH,Ratio_disbursed_to_obligated_c,1.465976997316311,0.5623481173002858,4.331773304476966,1.4387791487658363,13.041793090673435,0.009136998196184645,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_interaction,151,40
Cox_PH,Capacity_Velocity_Index_pp_c,0.2791516680002667,0.10617016252782772,1.322007834949778,1.0736477612079813,1.627819457009088,0.008556449434215848,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_x_Capacity_Velocity_Index_pp,0.5129670577377154,0.3149698161885357,1.670239547465009,0.9008987181244708,3.0965746646014036,0.10339287187108827,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_interaction,151,40
AFT_lognormal,Capacity_Velocity_Index_pp_c,-0.20506694441421366,0.04524977130826143,0.8145927821494291,0.7454592060815585,0.8901377772472623,5.845854517144635e-06,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_c,-0.8040508530656226,0.23450448403415128,0.44751248014424155,0.2826145861384325,0.7086237926401776,0.0006064287321166018,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_x_Capacity_Velocity_Index_pp,0.0939276661346393,0.1694055000137052,1.0984802857182883,0.788123076652427,1.5310539354297896,0.5792677382372357,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high,0.5707146855286144,0.4176010158779808,1.7695312580073816,0.7805408005542734,4.011629976090483,0.17173484388878038,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_interaction,151,40
Cox_PH,Disbursement_Velocity_pp_c,0.11341284039856513,0.0671089226848146,1.120094257668625,0.9820449172385465,1.2775496558651538,0.09103148665516594,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_x_Disbursement_Velocity_pp,0.13804322335283806,0.07550802077414122,1.1480251706988105,0.9900995573712277,1.331140674436113,0.06752061440358753,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_interaction,151,40
AFT_lognormal,Disbursement_Velocity_pp_c,-0.4357205707218271,0.04036623052954162,0.6467984351063923,0.5975980377311282,0.7000495136235731,3.667004048712631e-27,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high,-8.510020268412687,,0.0002014397420070033,,,,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_x_Disbursement_Velocity_pp,0.358705213672712,0.03988665881006728,1.4314747601815399,1.323829667006356,1.547872842033052,2.4032584088998723e-19,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_interaction,151,40
