model,variable,HR,HR_Lower,HR_Upper,p_value,concordance,n_obs,n_events
velocity_pp_full_lag2,Log_Obligated,0.9996263140109175,0.9894249154600064,1.009932893390377,0.9430665487494456,0.8682354012186244,80667,77
velocity_pp_full_lag2,Prior_Grant_Count,1.0003282941755605,0.9808680184982933,1.020174658829421,0.9738756813285798,0.8682354012186244,80667,77
velocity_pp_full_lag2,Prior_Grant_Dollars_log,1.0000243482878621,0.9978714254339158,1.002181916105776,0.982334009949497,0.8682354012186244,80667,77
velocity_pp_full_lag2,Disaster_Year,1.0001583589376601,0.9946322052819294,1.005715215775999,0.9553295321444742,0.8682354012186244,80667,77
velocity_pp_full_lag2,Population_log,0.9996304642608707,0.9844450340636339,1.0150501353575951,0.9622546575081065,0.8682354012186244,80667,77
velocity_index_scaled_only_lag2,Capacity_Velocity_Index_pp_lag2_scaled,1.0031013636902661,0.9821282762536965,1.0245223258161789,0.773931853617104,0.5696301658274566,80735,78
velocity_index_scaled_full_lag2,Capacity_Velocity_Index_pp_lag2_scaled,1.003453195564768,0.9822983871017952,1.025063594637459,0.7511668262101977,0.8684227048245153,80667,77
velocity_index_scaled_full_lag2,Government_Type_State,1.0001402311315037,0.9429938645062214,1.0607497244444462,0.9962729309355114,0.8684227048245153,80667,77
velocity_index_scaled_full_lag2,Log_Obligated,0.9996266922854335,0.9894252965327711,1.0099332687684324,0.9431240570175811,0.8684227048245153,80667,77
velocity_index_scaled_full_lag2,Prior_Grant_Count,1.0003306616838838,0.9808703595221572,1.0201770529516268,0.9736873570990418,0.8684227048245153,80667,77
velocity_index_scaled_full_lag2,Prior_Grant_Dollars_log,1.0000246342938797,0.9978717122934412,1.002182201253267,0.9821265220880673,0.8684227048245153,80667,77
velocity_index_scaled_full_lag2,Disaster_Year,1.0001590522603085,0.9946329020189921,1.0057159056247849,0.955134119581127,0.8684227048245153,80667,77
velocity_index_scaled_full_lag2,Population_log,0.9996309637966142,0.9844455188429653,1.0150506499896477,0.9623056707139778,0.8684227048245153,80667,77
velocity_pp_roll2_only_lag1,Disbursement_Velocity_pp_roll2_lag1,0.9999999999987138,0.9999999992030781,1.0000000007943495,0.9974718499352409,0.39265689654887836,80878,81
velocity_pp_roll2_only_lag1,Expenditure_Velocity_pp_roll2_lag1,0.9999999999985077,0.999999999141496,1.0000000008555194,0.9972769661511037,0.39265689654887836,80878,81
velocity_pp_roll2_full_lag1,Disbursement_Velocity_pp_roll2_lag1,0.9999999999986368,0.9999999992030016,1.0000000007942718,0.9973204312756696,0.865383093376213,80806,80
velocity_pp_roll2_full_lag1,Expenditure_Velocity_pp_roll2_lag1,0.9999999999984184,0.9999999991414072,1.0000000008554295,0.9971138749926387,0.865383093376213,80806,80
velocity_pp_roll2_full_lag1,Government_Type_State,1.0003174926092369,0.9432820992489006,1.0608015214290591,0.9915440901927861,0.865383093376213,80806,80
velocity_pp_roll2_full_lag1,Log_Obligated,0.9996548911627527,0.9894809320012764,1.0099334601673011,0.9472707810951353,0.865383093376213,80806,80
velocity_pp_roll2_full_lag1,Prior_Grant_Count,1.0002622115276756,0.98083299601939,1.0200762982798928,0.9790999430638934,0.865383093376213,80806,80
velocity_pp_roll2_full_lag1,Prior_Grant_Dollars_log,1.0000138308991524,0.9978630379837146,1.0021692596313196,0.9899544891236864,0.865383093376213,80806,80
velocity_pp_roll2_full_lag1,Disaster_Year,1.0002325631283966,0.9947193469914477,1.0057763361779708,0.9342810133054783,0.865383093376213,80806,80
velocity_pp_roll2_full_lag1,Population_log,0.9997356930978588,0.9845840881381394,1.015120463650666,0.9729359168678341,0.865383093376213,80806,80
velocity_index_roll2_only_lag1,Capacity_Velocity_Index_pp_roll2_lag1_scaled,0.9999634573825575,0.9784074372582985,1.0219943941784433,0.9973776244416527,0.39265285271704237,80878,81
velocity_index_roll2_full_lag1,Capacity_Velocity_Index_pp_roll2_lag1_scaled,0.9999612687379965,0.9784053110632634,1.0219921413646629,0.9972205582616249,0.8653794122396119,80806,80
velocity_index_roll2_full_lag1,Government_Type_State,1.000317488523149,0.9432820954113785,1.0608015170783762,0.9915441989955041,0.8653794122396119,80806,80
velocity_index_roll2_full_lag1,Log_Obligated,0.999654891195536,0.9894809320285561,1.0099334602056982,0.9472707861245439,0.8653794122396119,80806,80
velocity_index_roll2_full_lag1,Prior_Grant_Count,1.0002622115010364,0.9808329959698705,1.0200762982770604,0.9790999452118487,0.8653794122396119,80806,80
velocity_index_roll2_full_lag1,Prior_Grant_Dollars_log,1.000013830763172,0.9978630378491831,1.0021692594938847,0.989954587876229,0.8653794122396119,80806,80
velocity_index_roll2_full_lag1,Disaster_Year,1.0002325627752513,0.9947193466432109,1.0057763358198732,0.9342811128263467,0.8653794122396119,80806,80
