Grantee,Grant_Sequence,Disaster_Type,Velocity,Duration,Completed
"Richland County, SC",1,2015 Hurricane Joaquin and Patricia and Other Events,0.0035805775520477948,16.0,1
"Richland County, SC",2,2015-2018 Mitigation,0.0,4.0,0
"San Marcos, TX",1,2015 Hurricane Joaquin and Patricia and Other Events,0.000906333692862098,9.0,1
"San Marcos, TX",2,2015-2018 Mitigation,0.002202735051006618,8.0,1
South Carolina,1,2015-2018 Mitigation,0.0005655118306437604,6.0,1
South Carolina,2,2018 Disasters,0.0020281593126984013,1.0,1
"Springfield, MA",1,2011-2013 Hurricane Sandy and Other Events,0.00021888813714405385,39.0,0
"Springfield, MA",2,2013 National Disaster Resilience,0.0006517455768895986,4.0,1
Tennessee,1,2011-2013 Hurricane Sandy and Other Events,0.0008580674015262466,5.0,1
Tennessee,2,2013 National Disaster Resilience,0.0009548206805460786,11.0,1
Tennessee,3,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0,1.0,0
Texas - GLO,1,2008 Hurricane Ike and Other Events,,64.0,0
Texas - GLO,2,2011 Multiple Disasters,0.000620009747136067,1.0,1
Texas - GLO,3,2015 Hurricane Joaquin and Patricia and Other Events,,32.0,0
Texas - GLO,4,2015-2018 Mitigation,,17.0,0
Texas - GLO,5,2016 Louisiana Floods and Other Events,,28.0,0
Texas - GLO,6,"2017 Hurricanes Harvey, Irma and Maria",,27.0,0
Texas - GLO,7,2018 Disasters,0.0008112637250793605,6.0,1
Texas - GLO,8,2019 Disasters,0.0006935423041031707,15.0,0
"Tuscaloosa, AL",1,2011 Multiple Disasters,0.0008447381991724408,4.0,1
"Tuscaloosa, AL",2,2011-2013 Hurricane Sandy and Other Events,0.00043947763442377596,39.0,0
Virgin Islands,1,2015-2018 Mitigation,0.001706039892446302,4.0,0
Virgin Islands,2,"2017 Hurricanes Harvey, Irma and Maria",0.0008812968505178412,9.0,1
Virgin Islands,3,Electrical Power Systems in Puerto Rico and the U.S. Virgin Islands,0.0,1.0,0
