Grantee,Disaster Type,Expenditure_Velocity,Expenditure_TV_Mean,Expenditure_TV_Std,Expenditure_TV_Count,Expenditure_TV_Min,Expenditure_TV_Max,Expenditure_TV_Lag1_Mean,Expenditure_TV_Lag1_Std,Expenditure_TV_Lag1_Count
California,2018 Disasters,0.013100283338117635,-1.314808878083955,13.949185010357414,16,-38.128125167169046,28.24963731387174,-1.4093641613798316,14.433469705647704,15
California,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0060292065586618395,0.6026894792427775,0.9599085633379363,8,0.0,2.773204812349215,0.68878797627746,1.0028996196907543,7
California,"Storms, Flooding, and Other Disasters in California, Alabama, and Georgia",0.0,0.0,,1,0.0,0.0,,,0
"Chicago, IL",2011-2013 Hurricane Sandy and Other Events,0.035312101874557855,3.5312101874557857,10.913786437147214,26,-11.452727132791217,44.86755925218665,3.672458594954017,11.1145552780426,25
City of Birmingham,2011 Multiple Disasters,0.031774698267318845,3.029830002188603,14.006546341573786,18,-41.2026189458276,26.616689117498616,3.209605750791326,14.416195482994777,17
City of Birmingham,2011-2013 Hurricane Sandy and Other Events,0.029990463350367452,2.9990463350367453,18.69632508642155,29,-42.78933384958514,64.33766483769206,3.106155132716629,19.030342735935363,28
Colorado,2011-2013 Hurricane Sandy and Other Events,0.026237263023913895,2.604660652453487,6.680053268680871,38,-14.534814931577134,28.410597841683376,2.6750568863035813,6.757891511379057,37
Colorado,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,3
"Columbia, SC",2015 Hurricane Joaquin and Patricia and Other Events,0.023305244356955714,2.0231721248296313,10.299418102630769,27,-37.90905399084388,26.763873316701396,2.100986437323079,10.495289776615262,26
"Columbia, SC",2015-2018 Mitigation,0.0012020915792305624,0.12020915792305624,0.22678069684245283,10,0.0,0.6675797686306162,0.13356573102561806,0.23632856791159673,9
Connecticut - DOH,2011-2013 Hurricane Sandy and Other Events,0.023983473363966352,-3.6911078857820216,22.522609899657805,41,-110.30230548218066,43.91188517294932,-3.7836072056273578,22.801645365757313,40
Connecticut - DOH,2013 National Disaster Resilience,0.03945111948355435,6.065313629122215e-06,0.07823992723260302,25,-0.2952848488206983,0.20984886552081194,6.5317972734272684e-06,0.07992269879189738,24
"Cook County, IL",2011-2013 Hurricane Sandy and Other Events,0.023970419675540124,2.227567107729935,12.219227791832221,36,-29.298751064881678,49.91215530639048,2.2912118822365044,12.391564547491765,35
County Of Orange,2011 Multiple Disasters,0.03509085723471666,3.509085723471666,17.975280828399875,27,-11.51778937822188,91.03996175373544,3.644050558989807,18.317304885341276,26
"Dallas, TX","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.02295495884846344,2.295495884846344,14.18180733531835,2,-7.732556251438383,12.32354802113107,12.32354802113107,,1
"Dauphin County, PA",2011 Multiple Disasters,0.030897223270410352,2.2369155433982812,20.119957647251606,30,-10.283017518382046,107.80167315312559,2.314050562136153,20.471575974313144,29
"Dauphin County, PA",2011-2013 Hurricane Sandy and Other Events,0.05224063525990845,-32.33138537765314,136.20392261148177,13,-480.2471633883892,73.7330481605151,-35.02567407689309,141.89806473414677,12
"Dearborn, MI","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0,0.0,,1,0.0,0.0,,,0
"Detroit, MI","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.01635568376522608,1.635568376522608,2.5415764839653217,3,-0.047391498536316495,4.559197580567745,2.47704831405207,2.9446037315916596,2
Empire State Development Corporation (NYS),2001 World Trade Center,0.009322340836933249,0.07869830892866607,3.091075649318906,91,-19.08446545914616,6.4590840561900675,0.07957273458342902,3.108381417103789,90
Florida,2015-2018 Mitigation,0.006183243610686838,0.6183243610686836,8.07448190514266,17,-28.445582661545377,10.16691402561236,0.6569696336354763,8.337665173794802,16
Florida,2016 Louisiana Floods and Other Events,0.031292276061127264,3.0677322585718043,9.105540890143022,29,-35.34862116712987,23.08729838726802,3.2858427554994605,9.195159515454012,28
