Grantee,Ratio_disbursed_to_obligated,Ratio_expended_to_disbursed,Timeliness,Duration_of_completion,Ratio_obligated_funds_fully_expended,Quarter_by_quarter_variance_expended,Num_Disaster,Num_Program,Ratio_Program_Completed,Average_Duration_Program_Completion,E_TOTPOP,avg_employment,avg_payroll,SPL_THEME1,SPL_THEME2,SPL_THEME3,SPL_THEME4,SPL_THEMES
"Franklin County, FL",0.0008109812703064642,1.0,0.3333333333333333,3.0,0.0008109812703064642,0.0,1.0,8.0,1.0,3.0,0.0,0.0,0.0,3.4844833333333334,1.9945166666666667,1.0135166666666666,3.350566666666667,9.8431
"Franklin County, IN",0.7848071134570885,1.0031251108195325,0.041632429471377706,24.019736842105264,1.0,0.381872216578495,1.0,7.0,1.0,11.599624060150376,0.0,0.0,0.0,1.3745666666666667,1.9706000000000001,0.15311666666666665,1.8881166666666667,5.3863666666666665
"Franklin County, MO",0.5252350393700786,0.9865468431096571,0.02778285505392067,35.99342105263158,0.9999999999999999,0.42403562766744346,1.0,4.0,1.0,50.319078947368425,0.0,0.0,0.0,1.638,1.68445,0.27205,1.7974166666666667,5.391916666666667
"Franklin County, MS",0.59193303562418,1.0,0.05565726839985353,17.967105263157897,1.0,0.36958484788510504,1.0,1.0,1.0,54.01973684210527,0.0,0.0,0.0,2.8041666666666667,2.8441500000000004,0.8185666666666668,1.9325,8.3994
"Franklin Parish, LA",0.24766508771351556,0.9999999093093082,0.1708274024599438,61.58552631578948,0.5,0.22077577017041097,2.0,9.0,1.0,87.1045321637427,0.0,0.0,0.0,3.7465499999999996,2.784266666666667,0.8304333333333332,3.1660500000000003,10.5273
"Fremont County, IA",0.1767556617024132,0.9992547753379194,0.01958510501224069,51.059210526315795,0.23446029146506409,0.255131256139875,1.0,10.0,0.9,27.718567251461987,0.0,0.0,0.0,0.7162166666666666,1.90215,0.21155000000000002,1.2881333333333334,4.118049999999999
"Fulton County, AR",0.4790757597035658,0.24154772702655675,0.011479495506381693,87.11184210526316,1.0,0.28439428829839336,1.0,2.0,1.0,81.09210526315789,0.0,0.0,0.0,3.09425,2.2997166666666664,0.2718833333333333,2.4144666666666668,8.080333333333334
"Fulton County, IN",0.790279035318141,1.008911432735885,0.06649168853893263,15.039473684210527,1.0,0.3150129100975065,1.0,4.0,1.0,13.534539473684212,0.0,0.0,0.0,2.264816666666667,2.23765,0.6339,1.9905333333333335,7.126916666666666
GA,0.29150061274541256,0.9772209355475843,0.01870661302661513,55.03947368421053,0.5251544398875762,0.3052395883334502,3.0,38.0,0.8157894736842105,32.78684210526316,1016.8713166666666,2.40125826665546,42031.414961736744,2.4383625701647,2.0784326500424655,1.2951938840885522,2.5247794545553743,8.3367666633967
"Gadsden County, FL",0.00953625344899281,0.9792244977191109,0.20840197693574958,7.490131578947369,0.01400089442163839,0.4714045207910317,2.0,14.0,0.9285714285714286,3.2327935222672064,0.0,0.0,0.0,3.5736666666666665,2.682,1.5010333333333332,3.7382166666666667,11.494916666666667
"Galveston County, TX",0.3227217163094011,1.0467229232594624,0.015238630229798702,85.09429824561404,0.5532229424510507,0.26430186843904946,8.0,220.0,0.8727272727272727,93.74131288165164,31.97628333333333,0.0,0.0,1.9665166666666665,2.0627166666666668,1.4025999999999998,2.8432166666666667,8.275066666666666
"Garland County, AR",0.3461555287397831,0.1,0.013867347869719914,72.11184210526316,1.0,0.28747978728803447,1.0,1.0,1.0,72.11184210526316,0.0,0.0,0.0,2.6373666666666664,2.7351166666666664,0.9368,3.3032333333333335,9.612516666666666
"Garrett County, MD",0.7556151115095999,1.083388105589675,0.16593886462882093,6.026315789473685,1.0,0.16176475448320315,1.0,8.0,1.0,6.026315789473685,0.0,0.0,0.0,1.5210666666666668,1.8008499999999998,0.1281,2.3356833333333333,5.785699999999999
"George County, MS",0.5316299518939746,1.002755009664647,0.02562805597706963,39.01973684210527,1.0,0.2982779164065576,1.0,6.0,1.0,26.53070175438597,0.0,0.0,0.0,3.1225166666666664,2.3462,0.71395,2.5865500000000003,8.769233333333334
"Georgetown County, SC",0.003399059192227247,1.0,0.036973972269520795,27.04605263157895,0.008159992611259914,0.31117204382157093,1.0,1.0,1.0,27.04605263157895,0.0,0.0,0.0,2.671116666666667,2.2912333333333335,1.1373333333333333,2.637966666666667,8.737683333333333
"Gibson County, IN",0.7676642646544121,1.2812764128929024,0.01447481192267403,69.08552631578948,1.0000000000000002,0.28006562913461097,1.0,18.0,1.0,17.184941520467834,0.0,0.0,0.0,1.09155,2.0071666666666665,0.3698666666666666,2.6407666666666665,6.10935
"Gibson County, TN",1.0,0.20000000000000004,0.06649168853893263,15.039473684210527,1.0000000000000002,0.4,1.0,6.0,1.0,10.039473684210527,4.949683333333334,0.0,0.0,2.9500499999999996,2.83155,0.74825,2.5471833333333334,9.077033333333334
"Glynn County, GA",0.2232244034718239,0.9643609090490047,0.01448170731707317,69.05263157894737,0.11027086383767816,0.22140638520105918,1.0,5.0,0.4,43.559210526315795,8.245666666666667,3.2879222756734174,46653.84174852785,2.3387499999999997,2.4799,1.27815,2.9828500000000004,9.079633333333334
"Goliad County, TX",0.21078273120665186,1.0998386654505903,0.025617262489882525,39.036184210526315,0.6428494051907385,0.29217262737915317,2.0,10.0,0.9,45.39766081871345,0.0,0.0,0.0,1.8606,2.3341499999999997,1.2716,2.319366666666667,7.785716666666666
"Gonzales County, TX",0.184616012337875,1.0808845653383332,0.019819951401901986,52.55592105263158,0.39527555599013336,0.2699383504966822,2.0,16.0,0.8125,42.28390688259109,2.0215,0.0,0.0,2.8070166666666663,3.0395333333333334,1.5633166666666665,3.2876999999999996,10.697566666666667
"Grant County, IN",0.9631241283353805,1.0689557966653407,0.06663743971942131,15.006578947368421,1.0000000000000002,0.3803614181167577,1.0,8.0,1.0,7.884868421052632,0.0,0.0,0.0,2.8729833333333334,2.3362,0.6632,2.99145,8.863816666666667
"Grant Parish, LA",0.27557079538637164,1.0,0.1759112841098001,28.542763157894736,0.5,0.26418724579979486,2.0,7.0,1.0,32.60526315789474,2.221366666666667,0.0,0.0,2.8375500000000002,1.9725333333333335,1.04165,2.7649666666666666,8.6167
"Grayson County, TX",0.015073850481871025,1.0,0.06663743971942131,15.006578947368421,0.027282919980184842,0.387314991271962,1.0,4.0,0.75,8.021929824561404,12.7402,0.0,0.0,2.1611833333333332,2.511766666666667,1.1605833333333333,2.7977833333333333,8.631300000000001
"Greenbrier County, WV",0.032116778375748736,0.7996003305188005,0.027757487216946677,36.026315789473685,0.06443264678159873,0.34353360281401535,1.0,6.0,0.8333333333333334,31.822368421052637,0.0,0.0,0.0,2.648616666666667,2.01945,0.3947,2.5037166666666666,7.566483333333333
"Greene County, AR",0.7075567300919509,0.2770684604572086,0.011479495506381693,87.11184210526316,1.0,0.3364374741755564,1.0,2.0,1.0,82.60526315789474,0.0,0.0,0.0,2.833816666666667,2.4814666666666665,0.3106,2.3202833333333333,7.946149999999999
